tableName,stepName,apiQueryPath,set1,set2
PearsonCorrelationClusteringCompleteLinkage,all,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/all/PearsonCorrelationClusteringCompleteLinkage.json.gz,NA,NA
PearsonCorrelation,all,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/all/PearsonCorrelation.json.gz,NA,NA
SpearmanCorrelationClusteringCompleteLinkage,all,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/all/SpearmanCorrelationClusteringCompleteLinkage.json.gz,NA,NA
SpearmanCorrelation,all,/api/pipeline-output/e744bfc8-07ac-4dfc-8217-cdb159d894cb/report/report/json/all/SpearmanCorrelation.json.gz,NA,NA
